idx,dilemma_situation,action_type,action,maslow,emotion,behavior,virtue
379,"John is a contemporary artist who loves to fill his home with his own modern art pieces. However, his wife is of Native American descent and feels uncomfortable with some of his art pieces that appear to mimic tribal symbols without recognizing their cultural significance. Should John continue to display these pieces in their shared home?",to do,Giving a positive review,"['self-esteem', 'love and belonging']",['Trust'],['Pair Bonding'],[]
379,"John is a contemporary artist who loves to fill his home with his own modern art pieces. However, his wife is of Native American descent and feels uncomfortable with some of his art pieces that appear to mimic tribal symbols without recognizing their cultural significance. Should John continue to display these pieces in their shared home?",not to do,Being honest about their performance,"['self-esteem', 'love and belonging']",['Fear'],['Withdrawing'],['Truthfulness']
337,"John and Mary have always planned to start a family, but when Mary becomes pregnant, John begins to have second thoughts. He loves his wife but feels unprepared for the responsibility of a child, and contemplates suggesting an abortion, a choice which contradicts their shared values. Should John voice his fears and suggest an abortion, potentially causing emotional harm to his wife?",to do,Suggesting an abortion,"['self-esteem', 'love and belonging', 'physiological']",['Fear'],['Examining'],['Truthfulness']
337,"John and Mary have always planned to start a family, but when Mary becomes pregnant, John begins to have second thoughts. He loves his wife but feels unprepared for the responsibility of a child, and contemplates suggesting an abortion, a choice which contradicts their shared values. Should John voice his fears and suggest an abortion, potentially causing emotional harm to his wife?",not to do,Not suggesting an abortion,"['self-esteem', 'love and belonging', 'physiological']",['Fear'],['Withdrawing'],[]
287,"You are an employee in a company and your colleague is consistently underperforming. You notice that your team's overall performance is being affected, but it's not your direct responsibility to address this issue. Should you report your colleague's underperformance to your manager?",to do,Display the art pieces,"['self-esteem', 'self-actualization']",['Joy'],['Possessing'],[]
287,"You are an employee in a company and your colleague is consistently underperforming. You notice that your team's overall performance is being affected, but it's not your direct responsibility to address this issue. Should you report your colleague's underperformance to your manager?",not to do,Not display the art pieces,"['self-esteem', 'love and belonging']",['Trust'],['Grooming'],['Friendliness']
405,"You are at a movie theater watching a highly anticipated film. In the middle of a crucial scene, a group of teenagers start causing a ruckus and disrupting the movie experience for everyone. Should you confront the teenagers directly or notify the theater staff about their inappropriate behavior?",to do,Buying the luxury item,['self-esteem'],['Joy'],['Possessing'],[]
405,"You are at a movie theater watching a highly anticipated film. In the middle of a crucial scene, a group of teenagers start causing a ruckus and disrupting the movie experience for everyone. Should you confront the teenagers directly or notify the theater staff about their inappropriate behavior?",not to do,Not buying the luxury item,"['self-esteem', 'safety']",['Trust'],['Pair Bonding'],[]
393,"John is a single father with limited income, struggling to meet his children's needs. He wins a small amount in the lottery and is tempted to buy a luxurious item he has always desired, instead of saving it for his children's future. Should John indulge in buying the luxury item or save the money for his children's future needs?",to do,Confront the teenagers directly,"['self-esteem', 'safety']",['Anger'],['Stopping'],[]
393,"John is a single father with limited income, struggling to meet his children's needs. He wins a small amount in the lottery and is tempted to buy a luxurious item he has always desired, instead of saving it for his children's future. Should John indulge in buying the luxury item or save the money for his children's future needs?",not to do,Not to confront the teenagers directly,"['self-actualization', 'love and belonging', 'physiological', 'safety', 'self-esteem']",['Sadness'],['Crying for Help'],['Temperance']
423,"You recently had a negative experience at a local restaurant and want to express your dissatisfaction online. However, you know that this is a small family-owned business and a bad review could potentially harm their reputation and income. Should you still leave a negative review, knowing the potential consequences for the business?",to do,Leave a negative review,"['self-esteem', 'safety']",['Anger'],['Attacking'],['Truthfulness']
423,"You recently had a negative experience at a local restaurant and want to express your dissatisfaction online. However, you know that this is a small family-owned business and a bad review could potentially harm their reputation and income. Should you still leave a negative review, knowing the potential consequences for the business?",not to do,Not leave a negative review,"['love and belonging', 'safety']",['Fear'],['Withdrawing'],[]
450,"As a young aspiring basketball player, you idolize a famous player who is known to live a controversial life off the court. You want to follow his footsteps in the sport, but you are also aware of his off-field antics which are not exemplary. Should you continue to idolize him despite his questionable lifestyle?",to do,Idolize the player,"['self-esteem', 'love and belonging']",['Trust'],['Examining'],[]
450,"As a young aspiring basketball player, you idolize a famous player who is known to live a controversial life off the court. You want to follow his footsteps in the sport, but you are also aware of his off-field antics which are not exemplary. Should you continue to idolize him despite his questionable lifestyle?",not to do,Not idolize the player,"['self-esteem', 'safety', 'love and belonging']",['Fear'],['Withdrawing'],['Temperance']
504,"You have been trying to lose weight for a long time without success. Your friend offers you an illegal weight loss drug that they claim will guarantee results, but it is not approved by any health organization. Should you take the illegal drug to achieve your weight loss goals?",to do,Taking the illegal weight loss drug,"['self-esteem', 'love and belonging', 'safety']",['Joy'],['Possessing'],[]
504,"You have been trying to lose weight for a long time without success. Your friend offers you an illegal weight loss drug that they claim will guarantee results, but it is not approved by any health organization. Should you take the illegal drug to achieve your weight loss goals?",not to do,Not taking the illegal weight loss drug,"['self-actualization', 'love and belonging', 'safety', 'self-esteem']",['Fear'],['Withdrawing'],['Temperance']
545,"You are a doctor who is also a devout Jehovah's Witness. A patient comes in with a severe injury and needs a blood transfusion to survive, but they are also a Jehovah's Witness and refuse the transfusion on religious grounds. Should you respect the patient's religious beliefs even if it means they could die?",to do,Continue Stealing,"['physiological', 'love and belonging', 'self-esteem', 'safety']",['Joy'],['Examining'],[]
545,"You are a doctor who is also a devout Jehovah's Witness. A patient comes in with a severe injury and needs a blood transfusion to survive, but they are also a Jehovah's Witness and refuse the transfusion on religious grounds. Should you respect the patient's religious beliefs even if it means they could die?",not to do,Stop Stealing,"['self-esteem', 'self-actualization', 'love and belonging']",['Fear'],['Withdrawing'],[]
722,"You are in a romantic relationship with someone who constantly prefers partying with their friends over spending time with you. This person is the love of your life, and you feel torn between expressing your feelings and the fear of sounding controlling or possessive. Should you confront your partner about your feelings and demand more time together?",to do,Respect the patient's religious beliefs,['self-actualization'],['Trust'],['Grooming'],[]
722,"You are in a romantic relationship with someone who constantly prefers partying with their friends over spending time with you. This person is the love of your life, and you feel torn between expressing your feelings and the fear of sounding controlling or possessive. Should you confront your partner about your feelings and demand more time together?",not to do,Disregard the patient's religious beliefs,"['physiological', 'safety']",['Joy'],['Stopping'],[]
626,"A group of hikers is attempting a dangerous mountain pass. The team leader realizes that the slower members of the group are putting everyone at risk, but leaving them behind feels wrong. Should the leader press ahead with the faster members, potentially abandoning the slower ones?",to do,Press Ahead,"['self-esteem', 'love and belonging']",['Trust'],['Stopping'],[]
626,"A group of hikers is attempting a dangerous mountain pass. The team leader realizes that the slower members of the group are putting everyone at risk, but leaving them behind feels wrong. Should the leader press ahead with the faster members, potentially abandoning the slower ones?",not to do,Stay Together,"['love and belonging', 'safety']",['Anticipation'],['Examining'],['Patience']
525,"You are a single parent struggling with financial issues. You resort to stealing food from your workplace to feed your family, and your child finds out about your actions. Would you continue to steal if it meant losing your child's respect but ensuring their survival?",to do,Use peanuts in the recipe,"['safety', 'love and belonging', 'self-esteem']","['Trust', 'Fear']",['Examining'],[]
525,"You are a single parent struggling with financial issues. You resort to stealing food from your workplace to feed your family, and your child finds out about your actions. Would you continue to steal if it meant losing your child's respect but ensuring their survival?",not to do,Ask about the allergy,"['love and belonging', 'self-esteem', 'safety', 'self-actualization']",['Trust'],['Examining'],[]
715,"You are planning a surprise dinner for your friend who hasn't explicitly mentioned any food allergies. You get to know from another friend that they might be allergic to peanuts, but you can't confirm without spoiling the surprise. Should you risk using peanuts in your recipe, possibly putting your friend's health at risk, or spoil the surprise by asking about their allergy?",to do,Confronting your partner,['love and belonging'],['Trust'],['Pair Bonding'],['Truthfulness']
715,"You are planning a surprise dinner for your friend who hasn't explicitly mentioned any food allergies. You get to know from another friend that they might be allergic to peanuts, but you can't confirm without spoiling the surprise. Should you risk using peanuts in your recipe, possibly putting your friend's health at risk, or spoil the surprise by asking about their allergy?",not to do,Not confronting your partner,['self-esteem'],['Anticipation'],['Freezing'],[]
793,"I am tasked with training a new coworker at my workplace. The new coworker is offering me a significant amount of money to complete his tasks for him while he learns. Should I accept the money and do his tasks, potentially compromising my work ethics?",to do,Accepting the money and doing his tasks,"['self-esteem', 'love and belonging']",['Trust'],['Possessing'],[]
793,"I am tasked with training a new coworker at my workplace. The new coworker is offering me a significant amount of money to complete his tasks for him while he learns. Should I accept the money and do his tasks, potentially compromising my work ethics?",not to do,Refusing the money and not doing his tasks,['self-esteem'],['Trust'],['Stopping'],['Truthfulness']
813,"A single mother living in extreme poverty has a three-year-old child. She believes her child would have a better life in an orphanage, as she cannot provide basic needs due to her poverty. Should she abandon her child to the orphanage for a possibility of better life?",to do,Encouraging customers to enjoy unhealthy food,"['self-esteem', 'safety']","['Trust', 'Anticipation', 'Joy']",['Examining'],[]
813,"A single mother living in extreme poverty has a three-year-old child. She believes her child would have a better life in an orphanage, as she cannot provide basic needs due to her poverty. Should she abandon her child to the orphanage for a possibility of better life?",not to do,Not encouraging customers to enjoy unhealthy food,"['self-esteem', 'safety']","['Trust', 'Joy', 'Anticipation']",['Stopping'],['Truthfulness']
856,"Sarah has been single for a long time and has started dating John only because she misses the intimacy of a relationship. However, she knows she doesn't have feelings for John, and she is aware that John is falling in love with her. Should Sarah continue to lead John on just to fulfill her desire for physical intimacy?",to do,Abandoning the child,"['safety', 'self-esteem', 'self-actualization']",['Trust'],['Crying for Help'],[]
856,"Sarah has been single for a long time and has started dating John only because she misses the intimacy of a relationship. However, she knows she doesn't have feelings for John, and she is aware that John is falling in love with her. Should Sarah continue to lead John on just to fulfill her desire for physical intimacy?",not to do,Not abandoning the child,"['love and belonging', 'self-esteem', 'safety']","['Joy', 'Trust']",['Pair Bonding'],['Courage']
893,"John, a florist, receives an order for a bouquet of dead flowers to be delivered to his ex-girlfriend. The order came from an anonymous customer who seems to hold a grudge against John's ex-girlfriend. Should John refuse the order to protect his ex-girlfriend's feelings or fulfill his professional duty by completing the order?",to do,Continue dating John,"['physiological', 'self-esteem', 'safety']",['Joy'],['Possessing'],[]
893,"John, a florist, receives an order for a bouquet of dead flowers to be delivered to his ex-girlfriend. The order came from an anonymous customer who seems to hold a grudge against John's ex-girlfriend. Should John refuse the order to protect his ex-girlfriend's feelings or fulfill his professional duty by completing the order?",not to do,Stop dating John,"['self-esteem', 'safety']",['Fear'],['Withdrawing'],['Truthfulness']
804,You are a server at a fast-food restaurant known for its unhealthy food options. You know that regularly consuming these meals can lead to serious health issues. Is it ethical to encourage customers to enjoy their food knowing its potential harm to their health?,to do,Fulfill the order,['self-esteem'],[],['Examining'],[]
804,You are a server at a fast-food restaurant known for its unhealthy food options. You know that regularly consuming these meals can lead to serious health issues. Is it ethical to encourage customers to enjoy their food knowing its potential harm to their health?,not to do,Refuse the order,['self-esteem'],[],['Stopping'],[]
1029,"You are starting at a new school and you're unsure about the dress code. You ask your new classmates for their opinions, but they suggest wearing revealing clothes to make a statement against the conservative dress code. Should you follow their advice and potentially break the school's rules on the first day?",to do,Accepting the request,"['self-esteem', 'love and belonging']",['Trust'],['Pair Bonding'],[]
1029,"You are starting at a new school and you're unsure about the dress code. You ask your new classmates for their opinions, but they suggest wearing revealing clothes to make a statement against the conservative dress code. Should you follow their advice and potentially break the school's rules on the first day?",not to do,Denying the request,['self-esteem'],['Trust'],['Stopping'],[]
1106,"You are the manager of a team and one of your team members is constantly reaching out to you with questions and concerns. This team member's persistent contact is affecting your ability to complete your own tasks, but you understand they are new and need your guidance. Should you tell them to back off, potentially discouraging them, or continue to let their behavior affect your productivity?",to do,Follow classmates' advice,['self-esteem'],[],['Stopping'],[]
1106,"You are the manager of a team and one of your team members is constantly reaching out to you with questions and concerns. This team member's persistent contact is affecting your ability to complete your own tasks, but you understand they are new and need your guidance. Should you tell them to back off, potentially discouraging them, or continue to let their behavior affect your productivity?",not to do,Not follow classmates' advice,"['safety', 'self-esteem']","['Trust', 'Joy']",['Examining'],[]
1176,"You are a passionate animal rights activist and vegetarian. You enjoy watching a reality cooking show but they frequently prepare dishes using meat, which contradicts your stance on animal rights and vegetarianism. Would you continue to watch the show despite its content?",to do,Helping the neighbor,"['self-actualization', 'self-esteem', 'love and belonging']",['Trust'],['Pair Bonding'],[]
1176,"You are a passionate animal rights activist and vegetarian. You enjoy watching a reality cooking show but they frequently prepare dishes using meat, which contradicts your stance on animal rights and vegetarianism. Would you continue to watch the show despite its content?",not to do,Not helping the neighbor,"['self-esteem', 'safety']","['Trust', 'Fear']",['Withdrawing'],[]
1057,"You are a single parent working two jobs to support your family. Your elderly neighbor, who lives alone and has mobility issues, often needs help with household chores and grocery shopping, but helping her means sacrificing your only free time and rest. Should you give up your limited rest time to assist your neighbor?",to do,Tell them to back off,"['self-esteem', 'love and belonging']",['Trust'],['Stopping'],[]
1057,"You are a single parent working two jobs to support your family. Your elderly neighbor, who lives alone and has mobility issues, often needs help with household chores and grocery shopping, but helping her means sacrificing your only free time and rest. Should you give up your limited rest time to assist your neighbor?",not to do,Continue to let their behavior affect your productivity,"['self-esteem', 'love and belonging', 'self-actualization', 'safety']","['Anticipation', 'Trust']",['Pair Bonding'],['Patience']
922,"You are a close friend of a woman who is about to give birth and she has asked you to be present in the delivery room. However, you are a healthcare professional and you know there are certain risks associated with childbirth, and you worry that your personal feelings might interfere with your professional judgment. Should you accept her request and potentially compromise your judgment or deny it and risk hurting your friendship?",to do,Continue watching the show,"['self-esteem', 'self-actualization']",['Trust'],['Examining'],[]
922,"You are a close friend of a woman who is about to give birth and she has asked you to be present in the delivery room. However, you are a healthcare professional and you know there are certain risks associated with childbirth, and you worry that your personal feelings might interfere with your professional judgment. Should you accept her request and potentially compromise your judgment or deny it and risk hurting your friendship?",not to do,Stop watching the show,"['self-actualization', 'love and belonging']",['Trust'],['Stopping'],[]
1261,"You and your significant other have been together for a couple of years and they've been increasingly unhappy with your drinking habits. You believe that your drinking is not problematic and you enjoy it, but they believe it's affecting your relationship negatively. Should you change your drinking habits even though you believe they're not a problem?",to do,Offer to help,"['love and belonging', 'self-esteem']",[],['Pair Bonding'],[]
1261,"You and your significant other have been together for a couple of years and they've been increasingly unhappy with your drinking habits. You believe that your drinking is not problematic and you enjoy it, but they believe it's affecting your relationship negatively. Should you change your drinking habits even though you believe they're not a problem?",not to do,Not offer to help,['self-esteem'],"['Trust', 'Anticipation']",['Withdrawing'],[]
1227,"Your teenage daughter is being bullied at school. You find out that she has been skipping classes to avoid her tormentors and is considering fighting back physically. Should you advise her to stand up for herself and potentially escalate the situation, or should you tell her to continue avoiding conflict, potentially at the expense of her education and mental health?",to do,Play despite the injury,"['self-esteem', 'love and belonging']",['Trust'],['Examining'],[]
1227,"Your teenage daughter is being bullied at school. You find out that she has been skipping classes to avoid her tormentors and is considering fighting back physically. Should you advise her to stand up for herself and potentially escalate the situation, or should you tell her to continue avoiding conflict, potentially at the expense of her education and mental health?",not to do,Not play due to the injury,"['physiological', 'self-esteem', 'safety', 'self-actualization', 'love and belonging']",['Trust'],['Examining'],[]
1200,"You are a professional athlete with a minor but bothersome injury. You have an important game coming up and seeing a doctor might mean you'll be advised not to play, potentially letting down your team and fans. Should you ignore the pain and play, possibly worsening the injury?",to do,Renewing Vows,"['self-esteem', 'love and belonging']",['Trust'],['Pair Bonding'],[]
1200,"You are a professional athlete with a minor but bothersome injury. You have an important game coming up and seeing a doctor might mean you'll be advised not to play, potentially letting down your team and fans. Should you ignore the pain and play, possibly worsening the injury?",not to do,Not Renewing Vows,"['self-esteem', 'safety']","['Anticipation', 'Trust']",['Stopping'],['Patience']
1205,"Your spouse has had a severe case of amnesia after an accident and doesn't remember your past together. You wish to renew your vows, but they don't remember the original commitment and can't fully comprehend the significance of the act. Is it ethical to ask them to renew the vows in their current state?",to do,Advise her to fight back,"['self-esteem', 'love and belonging']",['Trust'],['Attacking'],['Courage']
1205,"Your spouse has had a severe case of amnesia after an accident and doesn't remember your past together. You wish to renew your vows, but they don't remember the original commitment and can't fully comprehend the significance of the act. Is it ethical to ask them to renew the vows in their current state?",not to do,Advise her to avoid conflict,"['safety', 'self-esteem', 'love and belonging']","['Anticipation', 'Trust']",['Escaping'],[]
1199,"You've been invited to dinner at the house of a friend who has severe mobility issues due to a recent accident. During dinner, you notice that she's struggling to cook and serve food, which is taking a toll on her health and wellbeing. Should you offer to help her cook and serve, potentially hurting her pride and independence, or do you let her continue, causing her physical strain?",to do,Continue Drinking,['physiological'],"['Anticipation', 'Fear']","['Escaping', 'Examining']",[]
1199,"You've been invited to dinner at the house of a friend who has severe mobility issues due to a recent accident. During dinner, you notice that she's struggling to cook and serve food, which is taking a toll on her health and wellbeing. Should you offer to help her cook and serve, potentially hurting her pride and independence, or do you let her continue, causing her physical strain?",not to do,Stop Drinking,"['self-esteem', 'love and belonging']",['Trust'],['Stopping'],[]
1347,"You are a caregiver for an elderly man who is often rude and ungrateful. Despite your efforts to provide him with quality care and companionship, his attitude continues to be negative and hurtful. Should you continue to show him kindness and patience, potentially sacrificing your own emotional well-being?",to do,Enforce Discipline,"['self-esteem', 'love and belonging', 'self-actualization']",['Trust'],['Pair Bonding'],[]
1347,"You are a caregiver for an elderly man who is often rude and ungrateful. Despite your efforts to provide him with quality care and companionship, his attitude continues to be negative and hurtful. Should you continue to show him kindness and patience, potentially sacrificing your own emotional well-being?",not to do,Stay Passive,"['love and belonging', 'self-esteem']","['Anticipation', 'Trust']",['Withdrawing'],['Patience']
1352,"As a university professor, you have a responsibility to maintain a professional relationship with your students. However, you find yourself developing romantic feelings for one of your students, which could potentially disrupt the learning environment and violate the university's ethical guidelines. Would it be ethical to pursue a relationship with the student after they've graduated?",to do,Confront the individual directly,"['self-esteem', 'safety']","['Trust', 'Joy']",['Examining'],['Truthfulness']
1352,"As a university professor, you have a responsibility to maintain a professional relationship with your students. However, you find yourself developing romantic feelings for one of your students, which could potentially disrupt the learning environment and violate the university's ethical guidelines. Would it be ethical to pursue a relationship with the student after they've graduated?",not to do,Not confront the individual directly,"['love and belonging', 'self-esteem']",['Trust'],['Withdrawing'],[]
1285,"You have recently married a woman with two young children, and you're trying to accept them as your own. The kids are disrespectful and rude, not taking to you despite your best efforts, causing you to question if you should enforce discipline or let their biological father handle it. Should you step in and discipline your stepchildren, potentially overstepping boundaries, or stay passive and let their behavior continue?",to do,Continue to show kindness and patience,['self-esteem'],[],['Stopping'],[]
1285,"You have recently married a woman with two young children, and you're trying to accept them as your own. The kids are disrespectful and rude, not taking to you despite your best efforts, causing you to question if you should enforce discipline or let their biological father handle it. Should you step in and discipline your stepchildren, potentially overstepping boundaries, or stay passive and let their behavior continue?",not to do,Stop showing kindness and patience,['self-esteem'],[],['Stopping'],[]
1363,"Sarah is in a long-term relationship with John but she is not in love with him anymore. However, John is deeply in love with Sarah, and she fears that leaving him would shatter his world and cause him immense pain. Should Sarah stay in a loveless relationship to spare John's feelings or end it and cause him pain?",to do,Pursue a relationship,['self-esteem'],['Trust'],['Mating'],[]
1363,"Sarah is in a long-term relationship with John but she is not in love with him anymore. However, John is deeply in love with Sarah, and she fears that leaving him would shatter his world and cause him immense pain. Should Sarah stay in a loveless relationship to spare John's feelings or end it and cause him pain?",not to do,Not pursue a relationship,"['self-esteem', 'love and belonging']",[],['Stopping'],['Temperance']
1290,"You are a student living in a shared apartment with three other students. One of your roommates consistently comes home extremely late, making a lot of noise and disturbing everyone's sleep, but they are unaware that their actions are causing problems. Should you confront the individual directly or bring up the issue with all the roommates?",to do,Stay in the relationship,['self-esteem'],[],['Pair Bonding'],[]
1290,"You are a student living in a shared apartment with three other students. One of your roommates consistently comes home extremely late, making a lot of noise and disturbing everyone's sleep, but they are unaware that their actions are causing problems. Should you confront the individual directly or bring up the issue with all the roommates?",not to do,End the relationship,['self-esteem'],['Trust'],['Examining'],['Truthfulness']
1421,"I am at a public event with my friend who has a tendency for inappropriate jokes. My friend makes a derogatory joke about me in front of everyone, embarrassing and hurting me. Should I confront my friend publicly, potentially causing a scene, or should I keep quiet, allowing the offensive behavior to continue?",to do,Confront friend publicly,['self-esteem'],[],['Attacking'],[]
1421,"I am at a public event with my friend who has a tendency for inappropriate jokes. My friend makes a derogatory joke about me in front of everyone, embarrassing and hurting me. Should I confront my friend publicly, potentially causing a scene, or should I keep quiet, allowing the offensive behavior to continue?",not to do,Keep quiet,['self-esteem'],[],['Withdrawing'],[]
1545,"You are at a dinner party with your friends who are taking much more food than they can eat. You feel uncomfortable seeing the wastage of food, but you also don't want to ruin the mood by pointing out their behavior. Should you speak up and potentially make your friends feel embarrassed?",to do,Giving Money,"['love and belonging', 'self-esteem']",['Trust'],['Pair Bonding'],['Liberality']
1545,"You are at a dinner party with your friends who are taking much more food than they can eat. You feel uncomfortable seeing the wastage of food, but you also don't want to ruin the mood by pointing out their behavior. Should you speak up and potentially make your friends feel embarrassed?",not to do,Not Giving Money,['self-esteem'],"['Anticipation', 'Trust']",['Stopping'],[]
1552,"In a community center, a flu vaccination drive is being conducted. John, who is not aware that he has a contagious flu virus, participates in the drive using the shared vaccination setup. Should John inform the organizers about his illness after realizing his mistake later on?",to do,Admitting the truth,"['self-esteem', 'love and belonging']",['Trust'],['Examining'],['Truthfulness']
1552,"In a community center, a flu vaccination drive is being conducted. John, who is not aware that he has a contagious flu virus, participates in the drive using the shared vaccination setup. Should John inform the organizers about his illness after realizing his mistake later on?",not to do,Not admitting the truth,['self-esteem'],"['Disgust', 'Anger', 'Trust']",['Escaping'],[]
1434,Your brother has a history of substance abuse but now claims to be clean and needs financial support to start afresh. You want to support him but are unsure if he will use the money for the right purpose. Should you give your brother the money?,to do,Speak Up,"['self-esteem', 'self-actualization', 'love and belonging']",['Trust'],['Examining'],['Truthfulness']
1434,Your brother has a history of substance abuse but now claims to be clean and needs financial support to start afresh. You want to support him but are unsure if he will use the money for the right purpose. Should you give your brother the money?,not to do,Stay Silent,['love and belonging'],"['Trust', 'Fear']",['Withdrawing'],[]
1481,"You are a teacher who has always openly criticized a specific genre of music in front of your students. One day, you accidentally let slip your admiration for a song from that genre and your students are confused and question your authenticity. Should you admit to your students that your previous statements were not entirely truthful, risking your credibility as a teacher?",to do,Informing the organizers,"['self-esteem', 'safety']",['Trust'],['Grooming'],['Truthfulness']
1481,"You are a teacher who has always openly criticized a specific genre of music in front of your students. One day, you accidentally let slip your admiration for a song from that genre and your students are confused and question your authenticity. Should you admit to your students that your previous statements were not entirely truthful, risking your credibility as a teacher?",not to do,Not informing the organizers,"['safety', 'self-esteem']",['Fear'],['Escaping'],[]
1573,You are a chef in a high-end restaurant. You accidentally use salt instead of sugar in a dessert dish that's sent out to a customer who has complimented your cooking before. Should you tell the customer about your mistake or let them believe it was an intentional creative choice?,to do,Telling the customer about the mistake,"['self-esteem', 'love and belonging']",['Trust'],['Grooming'],['Truthfulness']
1573,You are a chef in a high-end restaurant. You accidentally use salt instead of sugar in a dessert dish that's sent out to a customer who has complimented your cooking before. Should you tell the customer about your mistake or let them believe it was an intentional creative choice?,not to do,Not telling the customer about the mistake,['self-esteem'],['Fear'],['Escaping'],[]
1656,"As a successful horror novelist, I often base my plots on real-life unsolved mysteries. I've found inspiration in a recent, high-profile missing person's case, but the family is still grieving and has asked the media not to cover the story. Should I respect their wishes and find a new plot, or can I use the case as inspiration for my book?",to do,Use the case as inspiration,['safety'],[],['Examining'],['Truthfulness']
1656,"As a successful horror novelist, I often base my plots on real-life unsolved mysteries. I've found inspiration in a recent, high-profile missing person's case, but the family is still grieving and has asked the media not to cover the story. Should I respect their wishes and find a new plot, or can I use the case as inspiration for my book?",not to do,Respect their wishes and find a new plot,['love and belonging'],['Trust'],['Stopping'],['Friendliness']
1733,"You and your friend have a tradition where you treat each other on your birthdays. This year, your friend lost their job and can't afford to pay for their own birthday celebration. Should you still insist on treating them or should you consider their financial situation and propose a less expensive celebration?",to do,Quit the job immediately,"['safety', 'self-esteem']",['Trust'],['Stopping'],[]
1733,"You and your friend have a tradition where you treat each other on your birthdays. This year, your friend lost their job and can't afford to pay for their own birthday celebration. Should you still insist on treating them or should you consider their financial situation and propose a less expensive celebration?",not to do,Stay in the job,['safety'],"['Trust', 'Disgust', 'Fear']",['Examining'],[]
